id,nombreCurso,grupo,profesor,correoProfesor,nombreEstudiante,correoEstudiante,nota,periodo
1.0,Seminario de Ing. de Datos e IA,4.0,Hollyanne Macconaghy,hmacconaghy3m@edu.com,Aluin Abrashkov,aabrashkovu@edu.com,4.0,2024-1
2.0,Seminario de Ing. de Datos e IA,4.0,Hollyanne Macconaghy,hmacconaghy3m@edu.com,Archaimbaud Aers,aaersbp@edu.com,2.9,2024-1
3.0,Seminario de Ing. de Datos e IA,4.0,Hollyanne Macconaghy,hmacconaghy3m@edu.com,Aubine Aizic,aaizicct@edu.com,2.7,2024-1
4.0,Seminario de Ing. de Datos e IA,4.0,Hollyanne Macconaghy,hmacconaghy3m@edu.com,Amye Ajean,aajean98@edu.com,0.6,2024-1
5.0,Seminario de Ing. de Datos e IA,4.0,Hollyanne Macconaghy,hmacconaghy3m@edu.com,Ardis Algore,aalgore6g@edu.com,0.3,2024-1
6.0,Redes e Infraestructura,2.0,Gib Peachman,gpeachman2u@edu.com,Adoree Alldritt,aalldrittc4@edu.com,4.9,2021-1
7.0,Redes e Infraestructura,2.0,Gib Peachman,gpeachman2u@edu.com,Abie Antonikov,aantonikovam@edu.com,4.8,2021-1
8.0,Redes e Infraestructura,2.0,Gib Peachman,gpeachman2u@edu.com,Adoree Ashington,aashingtonk3@edu.com,0.0,2021-1
9.0,Redes e Infraestructura,2.0,Gib Peachman,gpeachman2u@edu.com,Agretha Atkinson,aatkinsonoo@edu.com,3.0,2021-1
10.0,Redes e Infraestructura,2.0,Gib Peachman,gpeachman2u@edu.com,Amy Avard,aavard5s@edu.com,4.9,2021-1
11.0,Inteligencia Artificial,1.0,Lorrie Winborn,lwinborn3p@edu.com,Aime Baccas,abaccas4z@edu.com,2.8,2024-3
12.0,Inteligencia Artificial,1.0,Lorrie Winborn,lwinborn3p@edu.com,Adora Baddiley,abaddileyoo@edu.com,3.5,2024-3
13.0,Inteligencia Artificial,1.0,Lorrie Winborn,lwinborn3p@edu.com,Agnes Baines,abainesnx@edu.com,4.3,2024-3
14.0,Inteligencia Artificial,1.0,Lorrie Winborn,lwinborn3p@edu.com,Alexandros Baniard,abaniardii@edu.com,0.4,2024-3
