usuario,contrasena,nombre,correo,paisOrigen,necesidadesEspecialesEducacion,genero,estadoCivil,prestamo,beca,desplazado,totalCreditos
aabrashkovu,lI49GSLJ,Aluin Abrashkov,aabrashkovu@edu.com,Portugal,no,Femenino,Soltero,no,no,no,0.0
aaersbp,fQ9It|FG,Archaimbaud Aers,aaersbp@edu.com,Portugal,no,Masculino,Union libre,no,no,no,3.0
aaizicct,nR6eex*I&o38,Aubine Aizic,aaizicct@edu.com,Portugal,no,Masculino,Soltero,no,no,si,3.0
aajean98,eM9ZY8.n1<$p_6,Amye Ajean,aajean98@edu.com,Portugal,no,Masculino,Soltero,no,no,no,3.0
aalgore6g,sus64,Ardis Algore,aalgore6g@edu.com,Portugal,no,Femenino,Soltero,no,no,no,0.0
aalldrittc4,uE2$~8XpLtq,Adoree Alldritt,aalldrittc4@edu.com,Portugal,no,Masculino,Soltero,no,no,no,6.0
aantonikovam,epw51y_,Abie Antonikov,aantonikovam@edu.com,Portugal,no,Femenino,Soltero,no,no,no,6.0
aashingtonk3,12345,Adoree Ashington,aashingtonk3@edu.com,Portugal,si,Femenino,Soltero,no,si,si,0.0
aatkinsonoo,aS5xCC!+_,Agretha Atkinson,aatkinsonoo@edu.com,Portugal,no,Femenino,Soltero,no,si,no,0.0
aavard5s,kH6Ggr,Amy Avard,aavard5s@edu.com,Portugal,no,Masculino,Soltero,no,si,si,6.0
abaccas4z,gub42,Aime Baccas,abaccas4z@edu.com,Portugal,no,Femenino,Soltero,no,no,no,0.0
abaddileyoo,nap62ss,Adora Baddiley,abaddileyoo@edu.com,Portugal,no,Femenino,Soltero,no,si,no,9.0
abainesnx,lor61TMl,Agnes Baines,abainesnx@edu.com,Portugal,no,Masculino,Soltero,si,no,si,9.0
abaniardii,wW8v#8bd}5wiK,Alexandros Baniard,abaniardii@edu.com,Portugal,no,Masculino,Soltero,no,no,si,0.0
abardsleygw,lC6r?Emv&p,Arleta Bardsley,abardsleygw@edu.com,Portugal,no,Femenino,Casado,si,si,no,6.0
abatyg4,dvu36XDT,Aubine Baty,abatyg4@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
abaudins80,dF1*5&@0,Aubrie Baudins,abaudins80@edu.com,Portugal,no,Masculino,Soltero,no,si,no,0.0
abensusani3,mxy78#Nw*$,Alethea Bensusan,abensusani3@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
aberard78,eto76#aPr,Amye Berard,aberard78@edu.com,Portugal,no,Femenino,Soltero,no,si,no,0.0
abethel2t,rta26sx,Archambault Bethel,abethel2t@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
abickerstaffefh,iN1g=f<=&,Alberik Bickerstaffe,abickerstaffefh@edu.com,Portugal,no,Masculino,Soltero,si,no,si,2.0
ablackborniq,yJ7smRX&$#plP,Amelia Blackborn,ablackborniq@edu.com,Portugal,no,Masculino,Soltero,no,si,si,5.0
ablawhm,zF61rhXZ,Avery Blaw,ablawhm@edu.com,Portugal,no,Femenino,Soltero,no,si,si,5.0
abodybl,nbn07L,Alicia Body,abodybl@edu.com,Portugal,no,Femenino,Soltero,no,no,si,5.0
abohea94,euc56I~QE,Archaimbaud Bohea,abohea94@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
abonnaraa,tS78T45YHG2,Arie Bonnar,abonnaraa@edu.com,Portugal,no,Masculino,Soltero,no,no,no,0.0
abony2g,lB2{|Jvcl#koCt,Alejandra Bony,abony2g@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
aboordhr,wK2#LeIV,Avery Boord,aboordhr@edu.com,Portugal,no,Masculino,Soltero,no,no,si,3.0
abootsin,eO19@#Fld==t(U,Arlene Boots,abootsin@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
abortolql,yN3M3TbdrM,Alon Bortol,abortolql@edu.com,Portugal,no,Femenino,Casado,no,no,no,0.0
abosdenm2,pI3Qe}.x,Abbey Bosden,abosdenm2@edu.com,Portugal,no,Masculino,Divorciado,no,no,no,0.0
abourton9w,eV6E3M(ie4lk6u,Agna Bourton,abourton9w@edu.com,Portugal,no,Masculino,Soltero,no,no,no,0.0
abowlesworth4t,eL2bV!IkqQXD|,Aldus Bowlesworth,abowlesworth4t@edu.com,Portugal,no,Femenino,Soltero,si,no,no,0.0
abraker3l,hN3dzAP!=ofZZA4,Ariela Braker,abraker3l@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
abreedyo7,tR6bey38ey93+,Amy Breedy,abreedyo7@edu.com,Portugal,no,Masculino,Soltero,no,si,si,0.0
abrionbd,zY4Sd_5}s~,Amil Brion,abrionbd@edu.com,Portugal,no,Masculino,Soltero,no,no,si,3.0
abrittles5c,rO7}{M1bsx,Aluino Brittles,abrittles5c@edu.com,Portugal,no,Masculino,Soltero,no,no,no,3.0
abroggioig,jE0LDV=r1P,Ailene Broggio,abroggioig@edu.com,Portugal,no,Masculino,Casado,no,no,no,0.0
abrownscombem4,trs321WjW,Alys Brownscombe,abrownscombem4@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
abrownsmithi8,ycw88!E,Adeline Brownsmith,abrownsmithi8@edu.com,Portugal,no,Femenino,Soltero,si,no,no,0.0
abrushneenct,ptz42,Adelaida Brushneen,abrushneenct@edu.com,Portugal,no,Femenino,Soltero,no,si,no,3.0
abuckinghamj4,vP5VNKWFdAE*,Andie Buckingham,abuckinghamj4@edu.com,Portugal,no,Masculino,Soltero,si,no,si,3.0
abullard14,qgi62P,Aldin Bullard,abullard14@edu.com,Portugal,no,Femenino,Soltero,si,no,no,0.0
abullen7g,qF0MM~d,Abner Bullen,abullen7g@edu.com,Portugal,no,Masculino,Soltero,no,no,no,0.0
abumpusdy,bZ02nTaj,Averil Bumpus,abumpusdy@edu.com,Portugal,no,Femenino,Soltero,no,no,no,0.0
abunstonelw,oC7=I!KX.,Alyda Bunstone,abunstonelw@edu.com,Portugal,no,Femenino,Soltero,si,no,no,0.0
abutfieldgg,xnn947~vo,Alysia Butfield,abutfieldgg@edu.com,Portugal,no,Femenino,Soltero,no,si,no,0.0
acammidge8l,kA3}wjJK,Anitra Cammidge,acammidge8l@edu.com,Portugal,no,Masculino,Soltero,si,no,no,3.0
acapesh9,jK7>$HYAN.Tilw)u,Astrid Capes,acapesh9@edu.com,Portugal,no,Femenino,Soltero,no,si,si,0.0
acarrierix,cW0(9NRlt|=+,Angil Carrier,acarrierix@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
acaseley4n,dhs34)wKv7,Andie Caseley,acaseley4n@edu.com,Portugal,no,Femenino,Soltero,no,no,no,0.0
acastellettojc,iO0gN2.9xj16SmT,Ambrosi Castelletto,acastellettojc@edu.com,Portugal,no,Masculino,Soltero,si,no,no,0.0
acauleyco,sW1!hyG~G,Aindrea Cauley,acauleyco@edu.com,Portugal,no,Masculino,Soltero,no,no,no,2.0
acayetnb,sZ8*~1wzQt,Amberly Cayet,acayetnb@edu.com,Portugal,no,Femenino,Soltero,no,no,si,2.0
achalfain53,wbs81Avu=!,Anastassia Chalfain,achalfain53@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
achasmerd4,yV3wz=@JJ>,Albert Chasmer,achasmerd4@edu.com,Portugal,no,Femenino,Soltero,no,si,si,3.0
acheesley8k,bX7p+&i5<!u*@>=,Alysia Cheesley,acheesley8k@edu.com,Portugal,no,Masculino,Soltero,no,no,si,3.0
achelsomir,nyx87Y9,Alonso Chelsom,achelsomir@edu.com,Portugal,no,Femenino,Soltero,no,no,si,3.0
acheshirkr,sU1UyDxq7,Aurilia Cheshir,acheshirkr@edu.com,Portugal,no,Masculino,Soltero,no,no,no,0.0
achiverscp,rmv52_,Amara Chivers,achiverscp@edu.com,Portugal,no,0,Soltero,no,no,no,3.0
aclimancego,yA8&Z#oe5,Ailee Climance,aclimancego@edu.com,Portugal,no,Masculino,Soltero,no,no,si,0.0
aclistlb,hae55bMc$l,Aileen Clist,aclistlb@edu.com,Portugal,no,Femenino,Soltero,no,no,no,6.0
acollensfj,kpg09,Adora Collens,acollensfj@edu.com,Portugal,no,Masculino,Soltero,no,no,si,9.0
aconeauld,rE7nraSm9==xTdAQ,Aubrette Coneau,aconeauld@edu.com,Portugal,no,Femenino,Soltero,no,si,si,9.0
aconradie4b,uH16c)epKz3dT,Andriana Conradie,aconradie4b@edu.com,Portugal,no,Femenino,Soltero,no,no,si,3.0
acorradolg,uhn33?ko,Aland Corrado,acorradolg@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
acoulthartjo,sX46!M1a5)q!,Abie Coulthart,acoulthartjo@edu.com,Portugal,no,Femenino,Soltero,no,no,si,0.0
acoveney84,cfu81v)&CN,Amos Coveney,acoveney84@edu.com,Portugal,no,Femenino,Soltero,no,no,no,3.0
acramphornb0,hT7j8mhm(Mz,Aurora Cramphorn,acramphornb0@edu.com,Portugal,no,Masculino,Soltero,no,no,no,0.0
acrellin92,ddj62I,Avril Crellin,acrellin92@edu.com,Portugal,no,Femenino,Soltero,no,no,si,3.0
acrightenci,mV5r*X?c_9p9,Ardis Crighten,acrightenci@edu.com,Portugal,no,Masculino,Soltero,si,no,no,3.0
acripwelll6,zH2TavH,Angelico Cripwell,acripwelll6@edu.com,Portugal,no,Masculino,Soltero,no,no,no,3.0
acrissiljp,zqs03*Ug.,Ase Crissil,acrissiljp@edu.com,Portugal,no,Masculino,Soltero,si,no,no,0.0
acrossby6j,zI8N{PW!{@FvDrA,Adelind Crossby,acrossby6j@edu.com,Portugal,no,Femenino,Soltero,no,no,si,3.0
