nombreCurso,grupo,profesor,correoProfesor,nombreEstudiante,correoEstudiante,nota,periodo
Innovacion y Emprendimiento,1,Isabelle Leas,ileas1v@edu.com,Octavius De Ruggero,ode0@edu.com,2.2,2021-1
Innovacion y Emprendimiento,1,Isabelle Leas,ileas1v@edu.com,Staffard Odeson,sodeson1@edu.com,2.2,2021-1
Innovacion y Emprendimiento,1,Isabelle Leas,ileas1v@edu.com,Olivero Withur,owithur2@edu.com,2.2,2021-1
Innovacion y Emprendimiento,1,Isabelle Leas,ileas1v@edu.com,Stanfield Partener,spartener3@edu.com,2.2,2021-1
Algebra lineal,2,Cornie Renneke,crenneke4g@edu.com,Kristi Tindley,ktindley4@edu.com,2.3,2023-3
Algebra lineal,2,Cornie Renneke,crenneke4g@edu.com,Elissa Fyldes,efyldes5@edu.com,2.3,2023-3
Algebra lineal,2,Cornie Renneke,crenneke4g@edu.com,Kaiser Gowenlock,kgowenlock6@edu.com,2.3,2023-3
Algebra lineal,2,Cornie Renneke,crenneke4g@edu.com,Kordula Cattermull,kcattermull7@edu.com,2.3,2023-3
Electiva Profesional 3,1,Reeba Speaks,rspeaks2r@edu.com,Zacharie Beckey,zbeckey8@edu.com,0.6,2022-3
Electiva Profesional 3,1,Reeba Speaks,rspeaks2r@edu.com,Sisely Shambroke,sshambroke9@edu.com,0.6,2022-3
Electiva Profesional 3,1,Reeba Speaks,rspeaks2r@edu.com,Lettie Schimoni,lschimonia@edu.com,0.6,2022-3
Electiva Profesional 3,1,Reeba Speaks,rspeaks2r@edu.com,Carin DHooghe,cdhoogheb@edu.com,0.6,2022-3
Electiva Profesional 5,1,Lulu Harvie,lharvie2n@edu.com,Alexina Ruperti,arupertic@edu.com,4.6,2021-1
Electiva Profesional 5,1,Lulu Harvie,lharvie2n@edu.com,Francisco Mahaddy,fmahaddyd@edu.com,4.6,2021-1
Electiva Profesional 5,1,Lulu Harvie,lharvie2n@edu.com,Osbourn Mayne,omaynee@edu.com,4.6,2021-1
Electiva Profesional 5,1,Lulu Harvie,lharvie2n@edu.com,Gwenore Rowland,growlandf@edu.com,4.6,2021-1
Ingenieria y Sostenibilidad,3,Fayette Laville,flavilleq@edu.com,Drucill Sparway,dsparwayg@edu.com,4.4,2022-1
Ingenieria y Sostenibilidad,3,Fayette Laville,flavilleq@edu.com,Cazzie Heindle,cheindleh@edu.com,4.4,2022-1
Ingenieria y Sostenibilidad,3,Fayette Laville,flavilleq@edu.com,Lavina Boulsher,lboulsheri@edu.com,4.4,2022-1
Ingenieria y Sostenibilidad,3,Fayette Laville,flavilleq@edu.com,Quinn Blacksell,qblacksellj@edu.com,4.4,2022-1
Comunicación Oral y Escrita,1,Glendon Barnett,gbarnettm@edu.com,Duky Reason,dreasonk@edu.com,3.3,2021-3
Comunicación Oral y Escrita,1,Glendon Barnett,gbarnettm@edu.com,Miguel Bloodworth,mbloodworthl@edu.com,3.3,2021-3
Comunicación Oral y Escrita,1,Glendon Barnett,gbarnettm@edu.com,Parnell Mityushkin,pmityushkinm@edu.com,3.3,2021-3
Comunicación Oral y Escrita,1,Glendon Barnett,gbarnettm@edu.com,Cayla Tookey,ctookeyn@edu.com,3.3,2021-3
Electiva de Lectura y Escritura,2,Edith Foro,eforox@edu.com,Joyous Stenton,jstentono@edu.com,1.4,2023-1
Electiva de Lectura y Escritura,2,Edith Foro,eforox@edu.com,Leicester Hollyar,lhollyarp@edu.com,1.4,2023-1
Electiva de Lectura y Escritura,2,Edith Foro,eforox@edu.com,Karina Loiterton,kloitertonq@edu.com,1.4,2023-1
Electiva de Lectura y Escritura,2,Edith Foro,eforox@edu.com,Vergil Winfield,vwinfieldr@edu.com,1.4,2023-1
Redes e Infraestructura,3,Elaina Baumler,ebaumler9@edu.com,Storm Kurtis,skurtiss@edu.com,5.0,2022-3
Redes e Infraestructura,3,Elaina Baumler,ebaumler9@edu.com,Rosana Steart,rsteartt@edu.com,5.0,2022-3
Redes e Infraestructura,3,Elaina Baumler,ebaumler9@edu.com,Salim Rosbotham,srosbothamu@edu.com,5.0,2022-3
Redes e Infraestructura,3,Elaina Baumler,ebaumler9@edu.com,Petunia McNeilly,pmcneillyv@edu.com,5.0,2022-3
Electiva Profesional 3,2,Franky Ferrant,fferrant2d@edu.com,Kipper Ion,kionw@edu.com,3.0,2023-3
Electiva Profesional 3,2,Franky Ferrant,fferrant2d@edu.com,Elwyn Caulcutt,ecaulcuttx@edu.com,3.0,2023-3
Electiva Profesional 3,2,Franky Ferrant,fferrant2d@edu.com,Sinclair Groveham,sgrovehamy@edu.com,3.0,2023-3
Electiva Profesional 3,2,Franky Ferrant,fferrant2d@edu.com,Jdavie McLachlan,jmclachlanz@edu.com,3.0,2023-3
Administracion para Ingenieros,3,Theda Petrazzi,tpetrazzi3s@edu.com,Francklin Rase,frase10@edu.com,0.4,2022-3
Administracion para Ingenieros,3,Theda Petrazzi,tpetrazzi3s@edu.com,Lotti Baggaley,lbaggaley11@edu.com,0.4,2022-3
Administracion para Ingenieros,3,Theda Petrazzi,tpetrazzi3s@edu.com,Gonzales Brymner,gbrymner12@edu.com,0.4,2022-3
