usuario,contrasena,nombre,correo,paisOrigen,necesidadesEspecialesEducación,genero,estadoCivil,prestamo,beca,desplazado,totalCreditos
ode0,yin33!!uS,Octavius De Ruggero,ode0@edu.com,Portugal,No,Masculino,Soltero,No,No,Si,0.0
sodeson1,dwn80*Quf,Staffard Odeson,sodeson1@edu.com,Portugal,No,Masculino,Soltero,No,No,Si,0.0
owithur2,nnl89v_yJV,Olivero Withur,owithur2@edu.com,Portugal,No,Masculino,Soltero,No,No,Si,0.0
spartener3,mie79,Stanfield Partener,spartener3@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
ktindley4,vbw05Ci,Kristi Tindley,ktindley4@edu.com,Portugal,No,Femenino,Casado,No,No,No,0.0
efyldes5,oba29k*A,Elissa Fyldes,efyldes5@edu.com,Portugal,No,Masculino,Casado,Si,No,No,0.0
kgowenlock6,qra00,Kaiser Gowenlock,kgowenlock6@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,0.0
kcattermull7,uhh88uE5il,Kordula Cattermull,kcattermull7@edu.com,Portugal,No,Masculino,Soltero,No,No,Si,0.0
zbeckey8,jac699YZ,Zacharie Beckey,zbeckey8@edu.com,Rumania,No,Femenino,Soltero,No,Si,No,0.0
sshambroke9,ymp271,Sisely Shambroke,sshambroke9@edu.com,Portugal,No,Femenino,Soltero,Si,No,Si,0.0
lschimonia,ktb24sB4,Lettie Schimoni,lschimonia@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
cdhoogheb,fiy43,Carin DHooghe,cdhoogheb@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,0.0
arupertic,uou999H,Alexina Ruperti,arupertic@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,3.0
fmahaddyd,xlx69hMZt,Francisco Mahaddy,fmahaddyd@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,3.0
omaynee,lrl43Q<,Osbourn Mayne,omaynee@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,3.0
growlandf,wpq20w,Gwenore Rowland,growlandf@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,3.0
dsparwayg,cjm18,Drucill Sparway,dsparwayg@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,3.0
cheindleh,gad52,Cazzie Heindle,cheindleh@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,3.0
lboulsheri,ksw429,Lavina Boulsher,lboulsheri@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,3.0
